Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Night Policeman,Benjamin Eddleman,39.0,1899-12-25,Monday,Gunfire,"Vandalia Police Department, Missouri",Missouri,,,Handgun,Released in 1904,"Night Policeman Benjamin Eddleman was shot and killed by a subject whom he had threatened to arrest earlier the day.The subject had been thrown out of a local saloon after causing a disturbance in which he attacked Policeman Eddleman. The mayor threatened to have the subject arrested if he caused any more trouble in town. The man returned to the saloon where he again located Policeman Eddleman.The man immediately shot him in the head with a revolver, killing him. The mayor arrested the man a short time later. He was subsequently convicted of second degree murder and sentenced to 10 years in prison. He was released on January 1, 1904.Policeman Eddleman was survived by his wife and two children. "
Posseman,Henry M. Love,,1899-07-20,Thursday,Duty related illness,"Colfax County Sheriff's Office, New Mexico",New Mexico,,,,,"Posseman Henry Love died after contracting a form of anthrax as a result of a shootout with an outlaw gang in Turkey Creek Canyon, New Mexico.During the shootout a bullet struck a knife that was in his pocket, causing the knife to cut him. He had used the knife to treat sick cattle with a form of anthrax and was infected with the disease. He succumbed to the disease four days later.Sheriff Edward Farr of the Huerfano County Sheriff's Office, Colorado, was also shot and killed while riding with the posse in an attempt to arrest members of the gang that had been robbing banks, trains, and postal stops in New Mexico and Arizona for several years. When the posse caught up to the gang there was a shootout and Sheriff Farr was shot three times and killed.  One member of the gang was shot and killed and a second was wounded and taken into custody. He was sentenced to life in prison for his role but was released in 1906.Two other members of the gang had been involved with the murder of Deputy Kent Kearney, of the Dona Ana County, New Mexico, Sheriff's Department, on July 12th, 1898.The leader of the gang, notorious outlaw Thomas E. ""Black Jack"" Ketchum, was apprehended and executed on April 26th, 1901."
Deputy U.S. Marshal,Joseph P. Heinrichs,,1899-03-15,Wednesday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,Captured and Charged,"Deputy Marshal Heinrichs was killed by a suspect he had arrested for selling whiskey in Indian Territory.On Tuesday, March 14, 1899, Deputy Marshal Heinrichs and a posse-man arrested the suspect in the Cherokee Nation for selling whiskey. Deputy Marshal Heinrichs took the prisoner to his home in Tahlequah to spend the night before transporting him to the federal jail in Muskogee.  The posseman did not accompany them.  Deputy Marshal Heinrichs slept in the same bed as his prisoner. About 3 A.M., Deputy Marshal Heinrich's wife and two daughters were awakened by a gunshot.  Deputy Marshal Heinrichs was found dead in the bed and it was discovered that the suspect had escaped out a window.  The suspect was captured two days later and charged with the deputy marshal’s death. The posseman was also charged when the suspect alleged he had given him the gun and several rounds of ammunition to escape.Deputy Marshal Heinrichs was survived by his wife and two daughters."
Patrolman,Alonzo Burnham,56.0,1899-02-19,Sunday,Duty related illness,"Boston Police Department, Massachusetts",Massachusetts,"24 years, 7 months",,,,"Patrolman Alonzo Burnham succumbed died of complications of pneumonia that he contracted during the Great Blizzard of 1899 while on duty during his foot patrol beat.The Great Blizzard of 1899 affected most of the United States, particularly east of the Rocky Mountains. The city of Boston saw temperatures as low as −4°F and more than 16 inches of snow. Patrolman Burnham contracted the cold when the storm hit the city overnight. He continued to work until pneumonia set in. He died in his home after being sick for four days.Patrolman Burnham had served with the Boston Police Department for 24-1/2 years and was assigned to the the 12th Police District. He was survived by his wife, son, and daughter."
Deputy Collector,Richard W. Wallace,42.0,1899-11-29,Wednesday,Gunfire,"United States Department of the Treasury - United States Customs Service, U.S. Government",United States,5 months,,Rifle; Winchester,Escaped,"Deputy Collector Dick Wallace was killed about 20 miles north of Presidio, Texas, while transporting a prisoner and contraband goods to the town.While passing a dangerous place about 200 yards from Rio Grande River near the Spencer Ranch, Deputy Collector Wallace was ambushed by four men hiding on both sides of the road. He was shot and killed and the men escaped with the prisoner and contraband goods into Mexico. Deputy Collector Wallace was found a few hours later by a citizen who went to search for him. When found, Inspector Wallace was lying in his own blood with a Winchester wound to the head.Presidio is on the border in the Big Bend of the Rio Grande River, between Eagle Pass and El Paso, and is known as the Bloody Peninsula. Deputy Collector Wallace was buried in the City Cemetery in San Antonio. There is no information available at this time as to his marital status or any children. The newspaper reported that Deputy Collector Wallace was a well known African American Republican politician in Presidio County. He had been appointed a deputy customs collector for the Saluria District with headquarters in Presidio five months earlier."
Town Marshal,C. R. Duke,45.0,1899-09-19,Tuesday,Gunfire,"Stamping Ground Police Department, Kentucky",Kentucky,2 years,,Handgun,Shot and killed,"Marshal C. R. Duke was shot and killed after being confronted by a drunk man who was passing through town. The man and his son were returning from Georgetown when the man began yelling and cursing and then called for Marshal Duke by name.Marshal Duke, who was at home eating dinner, heard the commotion and confronted the men. When the man refused to stop yelling Marshal Duke threatened to arrest him. Shots were exchanged and Marshal Duke and the man were both fatally wounded.Marshal Duke had served with the Stamping Ground Police Department for 2 years. He was survived by his brother."
Deputy Sheriff,Tom Walsh,23.0,1899-12-04,Monday,Gunfire,"Union County Sheriff's Office, Iowa",Iowa,,,Gun; Unknown type,Paroled in 1934,"Deputy Sheriff Tom Walsh was shot and killed by a man when he made a visit to the man's farm to serve him with legal papers.The 50-year-old subject surrendered to local law enforcement officials later the same day. He was convicted of first degree murder and sentenced to life in prison on April 11th, 1900. He escaped in 1915 and captured in 1929. He was returned to Ft. Madison Penitentiary and paroled in 1934."
Police Officer,Charles J. Stewart,29.0,1899-09-16,Saturday,Struck by streetcar,"Detroit Police Department, Michigan",Michigan,6 years,,,,Police Officer Charles Stewart was struck and killed by an electric streetcar at the intersection of Jefferson Avenue and Orleans Street while on bicycle patrol at 8:25 pm.He was waiting for another officer at the intersection when the accident occurred.Officer Stewart had served with the Detroit Police Department for six years. He was survived by his wife and 3-year-old child.
Merchant Policeman,George W. Lee,36.0,1899-12-07,Thursday,Gunfire,"Alexandria Police Department, Indiana",Indiana,1 year,,Gun; Unknown type,Released,Merchant Policeman George Lee was shot and killed as he interrupted a thief at the Alexandria Post Office. The suspect was apprehended two days later in Swayze.The suspect was released several days later when it was determined he was somewhere else at the time of the incident.Policeman Lee had served with the Alexandria Police Department for one year. He was survived by his wife.
Officer,Thomas Ferdinand Goslee,47.0,1899-03-16,Thursday,Gunfire,"Hot Springs Police Department, Arkansas",Arkansas,,,Gun; Unknown type,"One killed, four arrested","Officer Thomas Goslee, Officer J.E. Hart, and Chief Thomas Toler were shot and killed by a neighboring sheriff, his son, and three of his deputies, during an argument over a mayoral election.The sheriff and his deputies came into town and started arguing with the officers and a local bartender. The men left, but later returned. A gunfight ensued when the bartender attacked one of the deputies with a knife. All three Hot Springs officers, the bartender, and one of the deputies were killed. The sheriff, his son, and his other two deputies were arrested and charged with murder. Two were tried and acquitted. The trials of the other two ended with hung juries.Officer Goslee was survived by his wife and three sons."
Officer,Manning T. Crow,46.0,1899-02-01,Wednesday,Gunfire,"Somerville Police Department, New Jersey",New Jersey,10 years,,Handgun; .38 caliber,One shot and killed,"Officer Crow succumbed to a gunshot wound received two weeks earlier when he surprised three burglars in a butcher shop on South Street at 3 a.m. He was shot once with a .38 caliber round which pierced his chest and lungs. He was able to walk back to the station and inform his fellow officers. He succumbed to the wound 12 days later.On February 22, 1899, one of the suspects was shot and killed by the postmaster in Delaware Water Gap, Pennsylvania, when he surprised the three during another attempted burglary. The other two suspects escaped.Officer Crow was one of the first officers appointed to the department and had served as chief until a chief could be elected. He was with the agency for ten years."
Deputy Constable,Luther Robinson,41.0,1899-06-17,Saturday,Stabbed,"Daviess County Constable's Office, Kentucky",Kentucky,1 day,,Edged weapon; Knife,Sentenced to life,"Deputy Constable Luther Robinson was stabbed to death while attempting to arrest several drunk subjects who were causing a disturbance at Powers Station (modern-day Maceo).As he attempted to place one of the men under arrest another person in the group shot him in the leg. He was then attacked and stabbed several times, including a deep wound in his neck. He died several minutes later.The two brothers who attacked him were convicted of murder. One was sentenced to life and the other to 21 years. The one sentenced to life was paroled in 1906."
Constable,Elijah Bryan,,1899-06-20,Tuesday,Assault,"Bethel Police Department, North Carolina",North Carolina,,,Edged weapon,Pardoned,"Constable Elijah Bryan was seriously cut and beaten with a rake by four men when he attempted to arrest one of them for disorderly conduct. He died from his wounds six weeks later. Three of the suspects, two which were father and son, were arrested a short time after the attack.The father was convicted of manslaughter in September of 1899 and sentenced to 11 years in prison. In June of 1902 he was pardoned by Governor Charles B. Aycock. The son was convicted of second degree murder and sentenced to 21 years in prison. A few weeks after being placed in the penitentiary he died of typhoid fever."
Guard,H. Edward Taylor,21.0,1899-07-12,Wednesday,Gunfire (Inadvertent),"Kentucky Department of Corrections, Kentucky",Kentucky,,,,,Guard Ed Taylor was killed as the result of an accidental discharge of his Winchester rifle while performing extra guard duty on the prison wall at Kentucky State Branch Penitentiary in Eddyville.Guard Taylor was survived by his parents. His father served as the deputy warden of the penitentiary.
Deputy Sheriff,Robert M. Conley,23.0,1899-07-10,Monday,Gunfire,"Bosque County Sheriff's Office, Texas",Texas,,,Officer's handgun,,"Deputy Conley succumbed to gunshot wounds sustained the previous day when he was shot at the local train station. He had just returned from Waco, Texas, on official business and was getting off of the train when he observed a citizen being threatened with a pistol. Deputy Conley drew his own revolver and intervened. The suspect was able to gain control of Deputy Conley's revolver and shot him several times."
Constable,William L. Smith,40.0,1899-11-27,Monday,Gunfire,"Willard Police Department, Ohio",Ohio,,,Shotgun; 12 gauge,Never apprehended,"Constable William Smith was shot and killed in Plymouth by a suspect who had just been arrested on a warrant for threatening to kill the Plymouth marshal.The marshal had requested Constable Smith come to Plymouth from Chicago Junction to assist with serving the warrant. After placing the suspect under arrest at his residence, Constable Smith and the marshal let the suspect re-enter his home to retrieve a coat.  When the suspect exited the home he was holding a 12-gauge shotgun.  The suspect then said ""It's come to this"" and fired, killing Constable Smith and wounding the marshal.The man fled and was never apprehended.Constable Smith served as the constable of Chicago Junction, which was renamed Willard 1917. He was survived by his wife and four children."
Deputy U.S. Marshal,James M. Blair,,1899-08-21,Monday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,Shot and killed,"Deputy Marshal James Blair was shot and killed while attempting to serve a warrant on a man in Morgan County, Kentucky.Despite being mortally wounded, Deputy Marshal Blair was able to return fire and killed the subject."
Policeman,Charles O. Conaway,32.0,1900-11-10,Saturday,Struck by streetcar,"Philadelphia Police Department, Pennsylvania",Pennsylvania,"3 years, 6 months",634,,,Policeman Charles Conaway was killed when he was crushed between two trolley cars of the Union Traction Company while trying to save the life of a woman at Market Street and Eleventh Street.He and several other officers had been assigned to the area to keep order as crowds formed to hear the results of election day.Policeman Conaway was assigned to the Sixth District.
Desk Sergeant,Timothy S. O'Connell,,1900-05-03,Thursday,Gunfire,"Chicago Police Department, Illinois",Illinois,,266,Gun; Unknown type,Acquitted,"Sergeant Timothy O'Connell was shot and killed by an armed robber.As Sergeant O'Connell walked to his car to return home at the end of his shift, he was confronted by an armed robber.  As Sergeant O'Connell drew his service revolver, the offender fired a shot and fled.  Sergeant O'Connell died as a result of his injuries. A suspect was apprehended, tried, and acquitted. The suspect's attorney had an alibi the jury excepted."
Police Officer,Frederick L. Richards,44.0,1900-09-08,Saturday,Weather/Natural disaster,"Galveston Police Department, Texas",Texas,10 years,,,,"Officer Frederick Richards and three other officers were killed  the Great Galveston Hurricane of 1900.The storm, a category 4 hurricane, claimed the lives of over 8,000 citizens and destroyed over 1,500 acres of the city. Officer Richards was born in August 1856 in Germany. His mother and father were also born in Germany. Officer Richards had served with the agency for 10 years and was survived by his wife and son."
Chief of Police,Benjamin H. Crider,30.0,1900-06-08,Friday,Gunfire,"Carrollton Police Department, Georgia",Georgia,,,Gun; Unknown type,Shot and killed,"Chief Ben Crider was shot and killed by a man he was attempting to arrest. As Chief Crider fell he returned fire, killing the suspect.Chief Crider was survived by his wife and two children."
Deputy Constable,"George William ""Will"" Hardin",25.0,1900-07-02,Monday,Gunfire,"Hunt County Constable's Office - Precinct 1, Texas",Texas,,,Handgun,suspect killed,"At approximately 11:30 p.m., Deputy Constable George W. Hardin along with Greenville Police Officers Lee Howard and Tom Ingram were outside Bob Bolton's Saloon on the east side of the town square. The officers were investigating to see if Bolton was selling liquor in violation of the Sunday closing law. Officer Howard entered the saloon and was pushed out a back window by Bob Bolton.  Officer Howard then ran around and confronted Bolton at the front of the saloon. Howard and Bolton argued and both pulled their pistols and fired at about the same time. Neither was hit by the gunfire. Deputy Constable Hardin then stepped into the doorway and almost instantly was shot in the stomach by Bolton. Hardin then drew his pistol and fired several times killing Bolton. Hardin fell mortally wounded. Deputy Constable Hardin died at 6 p.m. the next day.Hardin was survived by his wife, Eva Mason Hardin. He is buried in an unmarked grave in the Mason family plot at East Mount Cemetery, Greenville, Hunt County, Texas."
City Marshal,Milford Parker,46.0,1900-06-25,Monday,Electrocuted,"Galena Police Department, Kansas",Kansas,,,,,"City Marshal Milford Parker was electrocuted when he attempted to remove a telephone wire that had fallen across a sidewalk. As he was pulling the wire it touched a live wire killing him instantly.City Marshal Parker was survived by his wife, son, and daughter. His son Milford Parker Jr. was born three months before he was killed, and died four years later. "
Assistant City Marshal,William Hennecke,,1900-03-27,Tuesday,Gunfire,"Boonville Police Department, Missouri",Missouri,,,Gun; Unknown type,Executed in 1900,"Assistant City Marshal William Hennecke was shot and killed by a man he was attempting to arrest for robbing a cigar store.The suspect was convicted of Marshal Hennecke's murder and hanged April 12, 1900."
Sergeant,Gabriel J. Porteous,,1900-07-28,Saturday,Gunfire,"New Orleans Police Department, Louisiana",Louisiana,,,Rifle; .38 caliber,Shot and killed,Sergeant Gabe Porteous was shot and killed while attempting to apprehend a violent suspect who had murdered two police officer three days earlier.
Sheriff,James Robert Kennedy,,1900-12-30,Sunday,Gunfire,"Abbeville County Sheriff's Office, South Carolina",South Carolina,2 weeks,,Handgun; Pistol,Shot and killed by sheriff Kennedy,"Sheriff James Kennedy was shot and killed after he attempted to arrest a suspect who and just shot a man over a two dollar card game.  After the suspect shot the man, he was followed by two policemen, but held them at bay with his pistol until Sheriff Kennedy arrived.  Sheriff Kennedy called to the suspect, who was hiding in his father-in-laws house, to come out.  When the suspect exited the house, he started firing.  Sheriff Kennedy was shot in the chest and the suspect was wounded twice in the leg by Sheriff Kennedy and the two patrolmen.  The suspect then began to reload his pistol, but was shot and killed by the dying Sheriff Kennedy, who was on the ground.  Sheriff Kennedy died minuets later from his wound."
Jailer,"Alfred ""Alf"" Henry",47.0,1900-01-17,Wednesday,Assault,"Howell County Sheriff's Office, Missouri",Missouri,,,Person,Sentenced to 91 years,"Jailer Alfred Henry was dragged into a cell and beaten to death by two prisoners.Jailer Henry had gone to the jail to feed the prisoners, and not returning home at the accustomed time his wife became anxious and sent a neighbor in search of him. His body was found on the jail floor. The prisoners had escaped. One of the prisoners was captured a short time later.The second prisoner, an escaped convict from the Tennessee Penitentiary, was apprehended four days later in Mammoth Springs, Arkansas. He admitted that he caused the death of Jailer Henry. He was convicted of second degree murder and sentenced to 91 years in prison February 8, 1900."
Jailer,Paul Sloan,,1900-09-27,Thursday,Gunfire,"Calcasieu Parish Sheriff's Office, Louisiana",Louisiana,,,Shotgun,Sentenced to life,"Jailer Sloan was shot and killed while attempting to prevent a prisoner from being taken from the Calcasieu Parish Jail by an angry mob. The mob had battered down the jail's front door using a large pipe.Fearing for their lives, the deputies on the inside of the jail opened fire into the air. Several members of the mob then returned fire, fatally wounding Jailer Sloan.Several members of the mob were arrested and charged with Jailer Sloan's murder. The two leaders of the mob were convicted of Jailer Sloan's murder and sentenced to life. Both said they did not fire any shots. One was pardoned by Governor Newton C. Blanchard in 1906. The prisoner Jailer Sloan was protecting was convicted of criminal assault, with details that are unspeakable, and sentenced to 20 years."
Special Officer,Stuart K. Harvey,31.0,1900-11-06,Tuesday,Gunfire,"Denver Police Department, Colorado",Colorado,,,Handgun,,"Special Officer Stuart Harvey was shot and killed and Patrolman Samuel Carpenter was seriously wounded while attempting to quell a riot at a polling station on election day. As a crowd of people attempted to cross the limit line gunfire erupted as several officers tried to push them back. Police returned fire killing one and wounded four more.Patrolman Samuel Carpenter died of his wounds on January 17, 1910."
Deputy Sheriff,Rube T. Mattox,52.0,1900-06-02,Saturday,Gunfire,"Wood County Sheriff's Office, Texas",Texas,,,Unknown weapon,acquitted,"Deputy Sheriff Rube T. Mattox, along with a small posse, went to arrest Shelby Fowler. They located him four miles south of Winnsboro. Fowler was charged with assaulting and cutting Winnsboro merchant R. G. Andrews earlier that day. When Deputy Sheriff Mattox attempted to arrest Fowler, Mattox was shot and killed by Frank Fowler, the father of Shelby Fowler. The posse scattered, and Deputy Mattox's body was not discovered until the next day.Frank Fowler was indicted by the grand jury, and tried for murder by a Wood County jury. On December 1, 1900, the jury gave the following ruling - ""We the jury find the defendant not guilty.""Mattox was survived by his wife and six children. He was buried in the Winnsboro City Cemetery, Winnsboro, Texas."
Night Captain,William C. Rooney,30.0,1900-01-22,Monday,Stabbed,"Colorado Department of Corrections, Colorado",Colorado,,,Edged weapon; Knife,Killed by citizens,"Captain William Rooney was killed when he was stabbed in the heart during a prison escape of four inmates. Two of the suspects were apprehended three days later and third was apprehended a day after that. When the third man, Captain Rooney's killer, was being returned to prison an angry mob of citizens took control of him and hanged him from a telephone pole. The fourth suspect remains at large.In 1893 the second suspect was only 11-years-old when he shot and killed a man so he could steal his watch. He was sentenced to 25 years, first in boy's reformatory and five years later transferred to prison. He was paroled on September 6, 1905. The third inmate, sent to prison in 1895 for train robbery, was pardoned on September 3, 1907, by Governor Henry Bushnel.Captain Rooney was survived by his wife.  It is believed he is buried in Cortez, Colorado."
Police Officer,Adolph Howe,46.0,1900-09-08,Saturday,Weather/Natural disaster,"Galveston Police Department, Texas",Texas,,,,,"Officer Howe and three other officers were killed in the Great Galveston Hurricane of 1900.The storm, a category 4 hurricane, claimed the lives of over 6,000 citizens and destroyed over 1,500 acres of the cityOfficer Howe and his parents were born in Denmark. His wife and her parents were born in Germany. He was born August 1854 and she was born February 1864. They had nine children; four boys and five girls. All of the children were born in Texas. Officer Howe was survived by his wife and all of his children."
Lieutenant,T. L. Fuller,,1900-10-15,Monday,Gunfire,"Texas Rangers, Texas",Texas,,,Rifle; Winchester,Shot and killed years later,"Texas Rangers had been sent to Orange to quell what was described as riotous disturbances. Ranger Fuller arrested a man causing trouble and was trying to get him to jail on December 21, 1899, when he was jumped by another man. Either the prisoner, Denny Moore, was part of the gang, or Fuller’s attacker just hated any authority; whatever the reason the Ranger was attacked with a knife and had to shoot his assailant in self-defense. The slain man was identified as Oscar Poole, one of the gang leaders. Poole was a son of Orange County Judge George F. Poole. Ranger Fuller was arrested and jailed without bail; however, he was cleared in the shooting. The Poole family filed a complaint of false arrest in Orange County against Ranger Fuller over the death of Oscar Poole. Ranger Captain Bill McDonald protested that the charge was nothing more than a ploy to get the Fuller back in Orange, but he was overruled by superiors acutely concerned with maintaining good will. Captain McDonald and Private A. L. Saxon were in Orange as witnesses in a case involving newly promoted Lieutenant Fuller. During a break in the trial, Fuller and Saxon decided to get a shave. At 5:30 p.m. Fuller was standing in Adams’ barber shop washing his face at a basin in the center of the room when the shot was fired. The ball from a Winchester struck him in the back of the head and exited through his eye. Fuller fell to the floor and expired in a few minutes. Ranger Saxon was in the chair being shaved at the time and there was no one else in the shop but Barber Adams. Immediately after the shooting Tom Poole ran into an adjoining butcher shop with a Winchester rifle in his hand and was placed under arrest. Poole was a brother of Oscar Poole.Thomas Poole was tried for the murder of Ranger Fuller and was acquitted on May 4, 1901. In March 1902, Orange City Marshal James A. Jett shot and killed Tom Poole. On May 12, 1902, City Marshal James A. Jett became engaged in a personal dispute with George H. Poole. George, Claude and Grover Poole shot and killed the city marshal in a downtown gun battle. Very little is currently known about T. L. Fuller’s personal history. His first name may have been Lawrence. His remains were shipped to Fulshear in Brazoria County, but no grave has been located. Fuller was the last member of the Frontier Battalion of the Texas Rangers to be killed in the line of duty. In 1901, the Texas Legislature abolished the Frontier Battalion and established the Texas Rangers as a state police force."
Marshal,"Salathiel Coffee ""Sail"" Aulgur",63.0,1900-09-07,Friday,Gunfire,"Marshall Police Department, Missouri",Missouri,8 years,,Gun; Unknown type,Acquitted,"Marshal Aulgur was shot and killed when he interrupted three suspects robbing the Chicago and Alton Railroad depot. As the suspect's attempted to rob the ticket clerk Marshal Aulgur approached them from behind and ordered them to put their hands up. One of the suspects immediately opened fire, killing the marshal.The suspects were charged with the murder but the first one to stand trial was acquitted. Charges against the other suspects were then dropped.Marshal Aulgur had served in law enforcement for 8 years. He was survived by his wife."
City Marshal,"George Houston ""Hugh"" Myers",45.0,1900-05-05,Saturday,Gunfire,"Davis Police Department, Oklahoma",Oklahoma,,,Gun; Unknown type,Apprehended,"City Marshal Hugh Myers was shot and killed at approximately 9:00 pm while attempting to arrest two men who were firing guns in the town.When he went to their location to arrest them he was shot in the stomach and fatally wounded. He was able to return fire at the suspects. Both men were arrested and charged with his murder.City Marshal Myers' killer was convicted of murder and sentenced to life in prison. The other suspect died in jail on June 25, 1902.Marshal Myers was survived by his wife."
Deputy Constable,William Frank Carey,32.0,1900-06-08,Friday,Gunfire,"Carmel Police Department, Indiana",Indiana,1 year,,Handgun; Pistol,Shot and killed,"Deputy Constable William Carey was shot and killed by a traveling evangelist known as ''Cyclone Johnson.'' The evangelist had a history of assaulting people who disagreed with the way he preached.Deputy Carey arrested the subject for assault and battery and escorted him to a nearby livery stable for trial. As a crowd of people gathered the subject produced a pistol and shot Deputy Carey twice in the chest. An unknown citizen returned fire killing the subject.Deputy Carey had served with the Carmel Police Department for one year."
Keeper,Andrew Van Kuren,45.0,1900-07-27,Friday,Gunfire,"New Orleans Police Department, Louisiana",Louisiana,,,Rifle; .38 caliber,Shot and killed,Keeper Andrew Van Kuren was shot and killed while attempting to apprehend a violent suspect who had murdered two officers three days earlier.Keeper Van Kuren served as the jail keeper of the City Workhouse. He was survived by his five young children and elderly mother.
Deputy City Marshal,Levi Neal,49.0,1900-02-24,Saturday,Gunfire,"Bryan Police Department, Texas",Texas,20 years,,Handgun,Died in prison,"Deputy City Marshal Levi Neal was shot and killed while escorting a man to jail. He had arrested the man and while walking towards the jail the man pulled out a pistol from under his coat and shot Neal. Neal is the one of the early African American law enforcement officers to be killed in the line of duty in Texas.He had previously survived a shootout on May 15, 1885 that took the life of Bryan deputy city marshal Levin P. Smith, Jr. On December 2, 1888, Neal was with Bryan City Marshal M. M. Wilcox when he was killed attempting to serve a warrant.The 53-year-old subject who murdered him was sentenced to life in prison. He died in prison May 17, 1904.Neal had been in law enforcement for about 20 years. He was buried in an unmarked grave in the Bryan City Cemetery. His grave site could not be located but a marker commemorating his service was later erected."
Sheriff,Jefferson Davis Surratt,40.0,1900-12-05,Wednesday,Gunfire,"United States Department of the Interior - Bureau of Indian Affairs - Office of Justice Services, U.S. Government",United States,,,Gun; Unknown type,Apprehended,"Sheriff Jeff Surratt was shot and killed while attempting to arrest a drunk man in Sanbois County. On December 3rd, 1900, Sheriff Surratt found one of his deputies drunk. While he was trying to calm him down, the deputy drew his gun and shot him. He died two days later. His deputy was jailed for his murder.Sheriff Surratt was survived by his wife."
Night Watchman,Reuben J. Chappell,58.0,1900-12-03,Monday,Gunfire,"Pierce City Police Department, Missouri",Missouri,18 years,,Gun; Unknown type,At large,"Watchman Chappell succumbed to a gunshot wound received almost two weeks earlier when he attempted to arrest a man who had fired a shot in public.It was suspected that members of a black gang murdered Watchman Chappell. In the days that followed hard feelings between the towns 300 black citizens and 3000 whites would develop. The tention exploded on August 18, 1901, when a 23-year-old white woman was murdered by an unknown subject. A riot resulted which ended with three blacks lynched, one killed, and the expulsion from town of the entire black population. Watchman Chappell was survived by his wife, four sons, and three daughters. He was a Confederate Civil War Veteran who served as a corporal with the 1st Tennessee Infantry, Company G. He was captured and held for a few days just before the war ended."
Deputy Constable,Marvin Durham,,1900-01-09,Tuesday,Gunfire,"Lauderdale County Constable's Office, Tennessee",Tennessee,1 day,,Gun; Unknown type,Lynched,"Deputy Constable Durham and Constable W. D. Turner were shot and killed while attempting to transport an inmate from the Durhamville town jail to the county jail. The inmate had been arrested earlier in the day for refusing to comply with a county health ordinance to be vaccinated. The city judge ordered the inmate to pay a fine. When he refused to pay, the judge ordered that he be moved to the Lauderdale County Jail in Ripley, Tennessee. Constable Turner deputized Marvin Durham to assist him with moving the prisoner. As they were about one mile away from Durhamville two brothers of the inmate ambushed the constables and shot both of them. Their bodies were found lying in the street by Constable Turner's wife. The inmate was also shot and later lynched by an angry mob, along with another one of his brothers.Both suspects fled the scene."
Patrolman,T. Perry Gates,37.0,1900-09-08,Saturday,Gunfire,"LaCrosse Police Department, Wisconsin",Wisconsin,3 years,8,Gun; Unknown type,At large,"Patrolman Perry Gates was shot and killed when he and his partner confronted three armed robbery suspects at the intersection of Third and King Streets. The suspects were wanted in Minnesota following a railroad boxcar robbery.The suspects opened fire, striking Patrolman Gates twice, and in the process, scaring the police horses away (along with the other officer who was still in the buggy). When the other officer was able to return to the scene, Patrolman Gates was dead.Patrolman Gates' killer was identified. He came close to being captured in Grand Rapids, Michigan, two years later, but escaped and was never seen again.Patrolman Gates, who joined the La Crosse Police Department in 1897, was a widower (his wife drowned in 1898). He was raising his three children when he was killed."
Police Officer,Thomas J. Bolin,,1900-09-30,Sunday,Gunfire (Inadvertent),"St. Louis Metropolitan Police Department, Missouri",Missouri,,,,,"Officer Bolin was killed when his revolver accidentally discharged after he reported off duty. He was still in uniform sitting at his table when the revolver, sitting on the mantel, discharged and struck him in the head. The pistol was known to have accidentally discharged twice before. Officer Bolin's death was declared a line of duty death by the Chief at the time."
Policeman,"Herbert ""Hub"" Haynes",52.0,1900-08-10,Friday,Gunfire,"Clayton Police Department, Delaware",Delaware,,,Handgun,,"Policeman Hub Haynes was shot and killed while attempting to arrest a hobo who was trespassing on a Delaware Railroad freight train shortly after midnight.Employees of the railroad had notified authorities that several men were riding in a boxcar. Policeman Haynes and several other officers met the train at the Clayton railroad station and surrounded the boxcar the men were in. One of the men began to resist arrest and struggled with Policeman Haynes. The man produced a pistol, shot Policeman Haynes during the struggle, and then escaped.Policeman Haynes was taken to his home where he died at 5:30 am the following morning.Policeman Haynes was survived by his wife and three children."
Deputy U.S. Marshal,Samuel Jackson,45.0,1900-10-25,Thursday,Fall,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,2 years,,,,Deputy Marshal Samuel Jackson died after falling from the second floor of the Montana State Capitol to the first floor. The building was under construction at the time.Deputy Marshal Jackson had served with the United States Marshals Service for two years.
Patrolman,Michael Hanley,,1900-05-10,Thursday,Assault,"New Orleans Police Department, Louisiana",Louisiana,,,Person,Sentenced to life,"Patrolman Michael Hanley succumbed to injuries sustained when he was assaulted while on duty near the intersection of Bouny and Alix Streets in Algiers on June 10, 1898.He was assisting Corporal Richard Fitzgerald in arresting three men for disorderly conduct when the three attacked them, shot and killed Corporal Fitzgerald, and beat Patrolman Hanley so badly that he never recovered from his injuries.Two suspects were convicted of murder and sentenced to life. One was pardoned in 1908. The third was acquitted. "
Lieutenant,John J. Hallowell,66.0,1900-09-09,Sunday,Heart attack,"Philadelphia Police Department, Pennsylvania",Pennsylvania,,,Person,Exonerated,Lieutenant John Hallowell suffered a fatal heart attack while struggling with a prisoner inside the 28th Police Station.A bicycle officer had arrested a man for reckless driving and drunkenness. He was booking the man when he became uncooperative while being searched. A struggle ensued and Lieutenant Hallowell assisted in subduing the subject. After the subject was detained Lieutenant Hallowell complained of not feeling well. He suffered a fatal heart attack inside the police station 30 minutes after the incident.A coroner's jury ruled Lieutenant Hallowell's cause of death as overexertion due to heart disease and exonerated the subject from all blame and released.Lieutenant Hallowell is survived by his wife and children.
